chunk_id,text,entity1,entity2,relationship,score,description1,description2
chunk_0,"Apple Scab 
 
Description of Apple Scab: 
Olive-green to black velvety spots on the newest leaves; spots may enlarge, leaves curl, turn 
yellow, and drop early. Fruit develop rough, corky patches that reduce market value. 
 
Causes of Apple Scab: 
The fungus Venturia inaequalis overwinters in fallen leaves. In spring rains, spores splash 
onto new shoots and leaves. 
 
Spread of Apple Scab: 
Occurs when temperatures are between 10–20 °C and leaf-wetness persists for around six to 
eight hours (from dew, rain, or fog). Each wet period in spring and early summer can trigger 
new infections. 
 
Early Treatment for Apple Scab: 
Must begin at the “half-inch green tip” stage, as soon as the first liƩle green leaf tissue 
shows. Skipping this spray allows the fungus to establish and becomes much harder to 
control. 
 
Treatment Options for Apple Scab: 
o 
Protectant fungicides such as mancozeb or captan applied every 7–10 days, ensuring 
full coverage on leaf tops and undersides. 
o","HERE ARE THE EXTRACTED ENTITIES AND RELATIONSHIPS:

VENTURIA INAEQUALIS",APPLE SCAB,causes,8,"Venturia inaequalis is the fungal pathogen that causes Apple Scab, a disease characterized by the development of olive-green to black velvety spots on apple leaves and fruit that can lead to significant economic losses if not properly treated.","Here is a one-sentence description of Apple Scab:

Apple Scab is a fungal disease characterized by the development of yellowish-green spots on the upper leaf surfaces of apple trees, which can eventually progress to curling and premature defoliation if left untreated."
chunk_0,"Apple Scab 
 
Description of Apple Scab: 
Olive-green to black velvety spots on the newest leaves; spots may enlarge, leaves curl, turn 
yellow, and drop early. Fruit develop rough, corky patches that reduce market value. 
 
Causes of Apple Scab: 
The fungus Venturia inaequalis overwinters in fallen leaves. In spring rains, spores splash 
onto new shoots and leaves. 
 
Spread of Apple Scab: 
Occurs when temperatures are between 10–20 °C and leaf-wetness persists for around six to 
eight hours (from dew, rain, or fog). Each wet period in spring and early summer can trigger 
new infections. 
 
Early Treatment for Apple Scab: 
Must begin at the “half-inch green tip” stage, as soon as the first liƩle green leaf tissue 
shows. Skipping this spray allows the fungus to establish and becomes much harder to 
control. 
 
Treatment Options for Apple Scab: 
o 
Protectant fungicides such as mancozeb or captan applied every 7–10 days, ensuring 
full coverage on leaf tops and undersides. 
o",APPLE SCAB,OLIVE-GREEN,found on,6,"Here is a one-sentence description of Apple Scab:

Apple Scab is a fungal disease characterized by the development of yellowish-green spots on the upper leaf surfaces of apple trees, which can eventually progress to curling and premature defoliation if left untreated.","Here is a one-sentence description of 'OLIVE-GREEN' based on the context:

The earliest symptoms of Apple Scab are olive-green to black velvety spots that appear on the newest leaves, which may later enlarge and cause leaves to curl, turn yellow, and drop early."
chunk_0,"Apple Scab 
 
Description of Apple Scab: 
Olive-green to black velvety spots on the newest leaves; spots may enlarge, leaves curl, turn 
yellow, and drop early. Fruit develop rough, corky patches that reduce market value. 
 
Causes of Apple Scab: 
The fungus Venturia inaequalis overwinters in fallen leaves. In spring rains, spores splash 
onto new shoots and leaves. 
 
Spread of Apple Scab: 
Occurs when temperatures are between 10–20 °C and leaf-wetness persists for around six to 
eight hours (from dew, rain, or fog). Each wet period in spring and early summer can trigger 
new infections. 
 
Early Treatment for Apple Scab: 
Must begin at the “half-inch green tip” stage, as soon as the first liƩle green leaf tissue 
shows. Skipping this spray allows the fungus to establish and becomes much harder to 
control. 
 
Treatment Options for Apple Scab: 
o 
Protectant fungicides such as mancozeb or captan applied every 7–10 days, ensuring 
full coverage on leaf tops and undersides. 
o",APPLE SCAB,NEWEST LEAVES,found on,7,"Here is a one-sentence description of Apple Scab:

Apple Scab is a fungal disease characterized by the development of yellowish-green spots on the upper leaf surfaces of apple trees, which can eventually progress to curling and premature defoliation if left untreated.","Here is a one-sentence description of 'NEWEST LEAVES' based on the context:

The newest leaves are affected by apple scab, exhibiting olive-green to black velvety spots that can enlarge, cause leaves to curl, turn yellow, and drop early, if infected by the fungus Venturia inaequalis."
chunk_0,"Apple Scab 
 
Description of Apple Scab: 
Olive-green to black velvety spots on the newest leaves; spots may enlarge, leaves curl, turn 
yellow, and drop early. Fruit develop rough, corky patches that reduce market value. 
 
Causes of Apple Scab: 
The fungus Venturia inaequalis overwinters in fallen leaves. In spring rains, spores splash 
onto new shoots and leaves. 
 
Spread of Apple Scab: 
Occurs when temperatures are between 10–20 °C and leaf-wetness persists for around six to 
eight hours (from dew, rain, or fog). Each wet period in spring and early summer can trigger 
new infections. 
 
Early Treatment for Apple Scab: 
Must begin at the “half-inch green tip” stage, as soon as the first liƩle green leaf tissue 
shows. Skipping this spray allows the fungus to establish and becomes much harder to 
control. 
 
Treatment Options for Apple Scab: 
o 
Protectant fungicides such as mancozeb or captan applied every 7–10 days, ensuring 
full coverage on leaf tops and undersides. 
o",APPLE SCAB,FRUIT,reduced by,9,"Here is a one-sentence description of Apple Scab:

Apple Scab is a fungal disease characterized by the development of yellowish-green spots on the upper leaf surfaces of apple trees, which can eventually progress to curling and premature defoliation if left untreated.","Here is a one-sentence description of 'FRUIT' based on the context:

Apple fruit can develop rough, corky patches as a result of the Apple Scab disease, which reduces their market value."
chunk_0,"Apple Scab 
 
Description of Apple Scab: 
Olive-green to black velvety spots on the newest leaves; spots may enlarge, leaves curl, turn 
yellow, and drop early. Fruit develop rough, corky patches that reduce market value. 
 
Causes of Apple Scab: 
The fungus Venturia inaequalis overwinters in fallen leaves. In spring rains, spores splash 
onto new shoots and leaves. 
 
Spread of Apple Scab: 
Occurs when temperatures are between 10–20 °C and leaf-wetness persists for around six to 
eight hours (from dew, rain, or fog). Each wet period in spring and early summer can trigger 
new infections. 
 
Early Treatment for Apple Scab: 
Must begin at the “half-inch green tip” stage, as soon as the first liƩle green leaf tissue 
shows. Skipping this spray allows the fungus to establish and becomes much harder to 
control. 
 
Treatment Options for Apple Scab: 
o 
Protectant fungicides such as mancozeb or captan applied every 7–10 days, ensuring 
full coverage on leaf tops and undersides. 
o",APPLE SCAB,DEW,spread by,7,"Here is a one-sentence description of Apple Scab:

Apple Scab is a fungal disease characterized by the development of yellowish-green spots on the upper leaf surfaces of apple trees, which can eventually progress to curling and premature defoliation if left untreated.","Here is a one-sentence description of 'DEW' based on the context:

DEW refers to the moisture, whether from rain, fog, or overnight condensation, that persists on leaf surfaces for around six to eight hours, allowing the fungus Venturia inaequalis to infect young shoots and leaves and trigger new infections of apple scab."
chunk_0,"Apple Scab 
 
Description of Apple Scab: 
Olive-green to black velvety spots on the newest leaves; spots may enlarge, leaves curl, turn 
yellow, and drop early. Fruit develop rough, corky patches that reduce market value. 
 
Causes of Apple Scab: 
The fungus Venturia inaequalis overwinters in fallen leaves. In spring rains, spores splash 
onto new shoots and leaves. 
 
Spread of Apple Scab: 
Occurs when temperatures are between 10–20 °C and leaf-wetness persists for around six to 
eight hours (from dew, rain, or fog). Each wet period in spring and early summer can trigger 
new infections. 
 
Early Treatment for Apple Scab: 
Must begin at the “half-inch green tip” stage, as soon as the first liƩle green leaf tissue 
shows. Skipping this spray allows the fungus to establish and becomes much harder to 
control. 
 
Treatment Options for Apple Scab: 
o 
Protectant fungicides such as mancozeb or captan applied every 7–10 days, ensuring 
full coverage on leaf tops and undersides. 
o",APPLE SCAB,RAIN,spread by,7,"Here is a one-sentence description of Apple Scab:

Apple Scab is a fungal disease characterized by the development of yellowish-green spots on the upper leaf surfaces of apple trees, which can eventually progress to curling and premature defoliation if left untreated.","Here is a one-sentence description of 'RAIN' in the context of Apple Scab:

RAIN refers to spring rains, which cause spores of the fungus Venturia inaequalis to splash onto new shoots and leaves, triggering new infections of Apple Scab."
chunk_0,"Apple Scab 
 
Description of Apple Scab: 
Olive-green to black velvety spots on the newest leaves; spots may enlarge, leaves curl, turn 
yellow, and drop early. Fruit develop rough, corky patches that reduce market value. 
 
Causes of Apple Scab: 
The fungus Venturia inaequalis overwinters in fallen leaves. In spring rains, spores splash 
onto new shoots and leaves. 
 
Spread of Apple Scab: 
Occurs when temperatures are between 10–20 °C and leaf-wetness persists for around six to 
eight hours (from dew, rain, or fog). Each wet period in spring and early summer can trigger 
new infections. 
 
Early Treatment for Apple Scab: 
Must begin at the “half-inch green tip” stage, as soon as the first liƩle green leaf tissue 
shows. Skipping this spray allows the fungus to establish and becomes much harder to 
control. 
 
Treatment Options for Apple Scab: 
o 
Protectant fungicides such as mancozeb or captan applied every 7–10 days, ensuring 
full coverage on leaf tops and undersides. 
o",APPLE SCAB,FOG,spread by,7,"Here is a one-sentence description of Apple Scab:

Apple Scab is a fungal disease characterized by the development of yellowish-green spots on the upper leaf surfaces of apple trees, which can eventually progress to curling and premature defoliation if left untreated.","Here is a one-sentence description of ""Fog"" based on the context:

Fog refers to the conditions where leaf-wetness persists for around six to eight hours, which can trigger new infections of Apple Scab when combined with temperatures between 10-20°C."
chunk_0,"Apple Scab 
 
Description of Apple Scab: 
Olive-green to black velvety spots on the newest leaves; spots may enlarge, leaves curl, turn 
yellow, and drop early. Fruit develop rough, corky patches that reduce market value. 
 
Causes of Apple Scab: 
The fungus Venturia inaequalis overwinters in fallen leaves. In spring rains, spores splash 
onto new shoots and leaves. 
 
Spread of Apple Scab: 
Occurs when temperatures are between 10–20 °C and leaf-wetness persists for around six to 
eight hours (from dew, rain, or fog). Each wet period in spring and early summer can trigger 
new infections. 
 
Early Treatment for Apple Scab: 
Must begin at the “half-inch green tip” stage, as soon as the first liƩle green leaf tissue 
shows. Skipping this spray allows the fungus to establish and becomes much harder to 
control. 
 
Treatment Options for Apple Scab: 
o 
Protectant fungicides such as mancozeb or captan applied every 7–10 days, ensuring 
full coverage on leaf tops and undersides. 
o",APPLE SCAB,TEMPERATURE,spread by,7,"Here is a one-sentence description of Apple Scab:

Apple Scab is a fungal disease characterized by the development of yellowish-green spots on the upper leaf surfaces of apple trees, which can eventually progress to curling and premature defoliation if left untreated.","Here is a one-sentence description of ""TEMPERATURE"" in the context of Apple Scab:

Apple Scab can spread when temperatures are between 10-20°C and leaf-wetness persists for around 6-8 hours, triggering new infections in each wet period in spring and early summer."
chunk_0,"Apple Scab 
 
Description of Apple Scab: 
Olive-green to black velvety spots on the newest leaves; spots may enlarge, leaves curl, turn 
yellow, and drop early. Fruit develop rough, corky patches that reduce market value. 
 
Causes of Apple Scab: 
The fungus Venturia inaequalis overwinters in fallen leaves. In spring rains, spores splash 
onto new shoots and leaves. 
 
Spread of Apple Scab: 
Occurs when temperatures are between 10–20 °C and leaf-wetness persists for around six to 
eight hours (from dew, rain, or fog). Each wet period in spring and early summer can trigger 
new infections. 
 
Early Treatment for Apple Scab: 
Must begin at the “half-inch green tip” stage, as soon as the first liƩle green leaf tissue 
shows. Skipping this spray allows the fungus to establish and becomes much harder to 
control. 
 
Treatment Options for Apple Scab: 
o 
Protectant fungicides such as mancozeb or captan applied every 7–10 days, ensuring 
full coverage on leaf tops and undersides. 
o",APPLE SCAB,LEAF-WETNESS,spread by,8,"Here is a one-sentence description of Apple Scab:

Apple Scab is a fungal disease characterized by the development of yellowish-green spots on the upper leaf surfaces of apple trees, which can eventually progress to curling and premature defoliation if left untreated.","Here is a one-sentence description of ""LEAF-WETNESS"" based on the context:

Leaf-wetness, which occurs when temperatures are between 10-20°C, refers to the persistence of moisture on the leaves for around six to eight hours, which is a condition necessary for the spread of Apple Scab disease."
chunk_0,"Apple Scab 
 
Description of Apple Scab: 
Olive-green to black velvety spots on the newest leaves; spots may enlarge, leaves curl, turn 
yellow, and drop early. Fruit develop rough, corky patches that reduce market value. 
 
Causes of Apple Scab: 
The fungus Venturia inaequalis overwinters in fallen leaves. In spring rains, spores splash 
onto new shoots and leaves. 
 
Spread of Apple Scab: 
Occurs when temperatures are between 10–20 °C and leaf-wetness persists for around six to 
eight hours (from dew, rain, or fog). Each wet period in spring and early summer can trigger 
new infections. 
 
Early Treatment for Apple Scab: 
Must begin at the “half-inch green tip” stage, as soon as the first liƩle green leaf tissue 
shows. Skipping this spray allows the fungus to establish and becomes much harder to 
control. 
 
Treatment Options for Apple Scab: 
o 
Protectant fungicides such as mancozeb or captan applied every 7–10 days, ensuring 
full coverage on leaf tops and undersides. 
o",APPLE SCAB,VENTURIA INAEQUALIS,treated with,9,"Here is a one-sentence description of Apple Scab:

Apple Scab is a fungal disease characterized by the development of yellowish-green spots on the upper leaf surfaces of apple trees, which can eventually progress to curling and premature defoliation if left untreated.","Venturia inaequalis is the fungus that causes Apple Scab, a disease characterized by olive-green to black velvety spots on leaves and rough, corky patches on fruit."
